source_object,panel_group,purpose,validity4,vda1,vda2,vda4,vda9,vda16_historical,vda_excl,vda_probe_cued,vda_probe_uncued,vda_fixed1,vda_fixed2,vda_fixed4,vda_fixed9,vda_fixed16,scope_note
M1,M1a,trial sequence,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,Rendered and visually inspected; placed in the new VDA-series manuscript and covered by final rendered-page QA.
M1,M1b,cue/value configurations,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,"Rendered and visually inspected; placed in the new VDA-series manuscript and covered by final rendered-page QA. Neutral/comparator and exclusion panels are task-specific adaptations, not value-cue evidence."
M1,M1c,cued versus opposing change examples,complete,undefined,complete,complete,complete,complete,complete,complete,complete,undefined,complete,complete,complete,complete,Opposing-location change is absent for singleton and target-only exclusion semantics; defined panels await manuscript placement.
M2,M2a,patching and visual features,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,Rendered and visually inspected once for the shared architecture; placed in the new VDA-series manuscript and covered by final rendered-page QA.
M2,M2b,routing/allocation mechanism,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,Rendered and visually inspected for affine_ew and crossattn1; placed in the new VDA-series manuscript and covered by final rendered-page QA.
M2,M2c,recurrent memory update,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,Rendered and visually inspected once for the shared spatial xLSTM; placed in the new VDA-series manuscript and covered by final rendered-page QA.
M2,M2d,actor/critic temporal loop,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,Rendered and visually inspected once for the shared actor/QR-critic readout; placed in the new VDA-series manuscript and covered by final rendered-page QA.
M3,M3A,response rate by cue validity,inapplicable,complete,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,
M3,M3D,conditional logical response frame by displayed validity,inapplicable,complete,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,
M3,M3B,"change-response probability: cued versus archived uncued, low displayed validity",inapplicable,undefined,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M3,M3C,"change-response probability: cued versus archived uncued, high displayed validity",inapplicable,undefined,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M3,M3E,"conditional logical response frame: cued versus archived uncued, low displayed validity",inapplicable,undefined,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M3,M3F,"conditional logical response frame: cued versus archived uncued, high displayed validity",inapplicable,undefined,complete,complete,complete,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M4,M4A,allocation maps by cue validity and time,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,
M4,M4B,S1 allocation at change time for S1 changes,available,partial,partial,complete,complete,blocked,partial,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,"Historical VDA4/VDA9 completed from the approved 96-trial checkpoint-recomputed first wave for affine and cross-attention; fixed-grid and other historical environments remain unchanged."
M4,M4C,S1 allocation when another location changes,available,undefined,partial,partial,partial,blocked,undefined,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M4,M4D,S1/S4 allocation over trial time,available,undefined,partial,partial,partial,blocked,partial,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,
M5,M5A,response rate: natural/target intervention,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
M5,M5B,response rate: matched-location intervention contrast,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
M5,M5C,response rate: competing-location intervention contrast,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
M5,M5D,reaction time: natural/target intervention,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,blocked,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
M5,M5E,reaction time: matched-location intervention contrast,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
M5,M5F,reaction time: competing-location intervention contrast,inapplicable,partial,partial,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Historical partial status does not validate known high-token cross-routing clamp fields.
